Id,SalePrice
0,102748.6428
1,162976.6408
2,163948.1456
3,187835.256
4,188950.2565
5,168553.2065
6,190946.4712
7,164365.4027
8,191802.2308
9,114972.3072
10,199892.7567
11,104049.8508
12,87668.68162
13,147088.1496
14,100874.8925
15,354341.5249
16,247863.3971
17,302913.3757
18,295486.4321
19,428059.4277
20,283377.5915
21,213620.6663
22,181937.9201
23,174336.0122
24,205477.4344
25,211577.0111
26,296926.1521
27,256141.4832
28,189821.9902
29,242817.3087
30,217866.6614
31,96686.20153
32,215795.6553
33,287964.9903
34,264175.7802
35,243714.5112
36,169130.9729
37,170701.8794
38,165905.669
39,166970.0369
40,192885.7758
41,149233.2024
42,281570.7979
43,243600.2906
44,227627.9099
45,197832.2954
46,235293.9421
47,198220.1064
48,151245.3533
49,138939.4265
50,153340.9686
51,179170.1792
52,155682.1984
53,137532.589
54,206710.5727
55,160332.2065
56,166679.12
57,120090.9285
58,236666.804
59,125756.1358
60,113848.9082
61,194478.3423
62,92802.50065
63,126349.1997
64,91613.67294
65,82874.35752
66,94702.91811
67,149122.5847
68,141641.3374
69,210073.0307
70,138824.6603
71,118308.5421
72,177668.4367
73,145931.5529
74,152829.1699
75,113674.5807
76,31487.60156
77,173490.1516
78,216579.7544
79,98512.14383
80,135689.7223
81,137293.2317
82,183059.2317
83,96620.55229
84,98764.38745
85,147283.2024
86,150945.3539
87,130485.3855
88,107376.7519
89,135433.9756
90,127510.8076
91,148355.051
92,170220.4094
93,124295.1237
94,157434.3809
95,106513.5275
96,128793.5075
97,108796.1238
98,76174.10262
99,133374.4898
100,149985.8315
101,132615.467
102,112827.5104
103,158039.803
104,125921.0531
105,240862.1062
106,78170.94325
107,228977.4813
108,130059.1017
109,137845.1086
110,95585.84929
111,136703.3376
112,252885.7663
113,110222.4162
114,236938.3685
115,264160.6488
116,197263.9017
117,140946.5894
118,117618.8107
119,187907.4339
120,168550.3856
121,127180.9633
122,291829.1699
123,226576.3649
124,150003.3892
125,50551.75993
126,94673.97676
127,153536.6887
128,103943.7051
129,131862.3427
130,74453.97891
131,137418.0922
132,135939.1741
133,129170.5858
134,102893.2666
135,209697.1288
136,155689.1198
137,189368.3733
138,185258.2721
139,181691.4628
140,34221.47935
141,112510.9543
142,84747.36286
143,265329.9266
144,248836.9363
145,181201.8325
146,164189.281
147,231440.9689
148,199532.4685
149,152385.6807
150,130590.0646
151,181120.699
152,167037.4779
153,136201.3499
154,84630.58339
155,57057.42495
156,69267.30803
157,108275.716
158,160487.7364
159,153383.288
160,132774.0902
161,159993.7051
162,267642.4031
163,217248.2747
164,105340.9931
165,182105.3781
166,178681.7843
167,277617.1949
168,174047.459
169,312594.9745
170,209779.2547
171,222529.6311
172,189928.0408
173,191906.0693
174,182215.3344
175,157905.1346
176,185985.5107
177,193844.1047
178,180637.3204
179,252634.6981
180,176554.3612
181,253530.5063
182,220295.4225
183,229530.2904
184,244988.3977
185,164828.9445
186,154812.6772
187,133662.0194
188,136290.3307
189,105647.0603
190,114764.1483
191,104015.557
192,104904.1349
193,141921.2753
194,149343.9308
195,135452.1557
196,146926.8418
197,149925.5266
198,111555.3643
199,155948.4481
200,417239.1342
201,329795.5016
